sample_id;Biological_repeat;Bio_rep;PCR_repeat;Type;Lab_id;PCR_id;Bergen_id;Field_id;Cave;X_coord;Y_coord;Layer_no;Layer;Group
BBY009BR2_s_1;2;BBY009BR2;1;Bulk bone;BBY009;BBY009BR2_1;Id. 121-125, 127-132, 148, 149, 160-166;B-GR-YB2011, B-GR-YB2012, B-GR-YB2013;NY;106;201;B2;B;Fish
BBY009BR3_2_s_2;3;BBY009BR3;2;Bulk bone;BBY009;BBY009BR3_2;Id. 121-125, 127-132, 148, 149, 160-166;B-GR-YB2011, B-GR-YB2012, B-GR-YB2013;NY;106;201;B2;B;Fish
BBY009BR3_s_1;3;BBY009BR3;1;Bulk bone;BBY009;BBY009BR3_1;Id. 121-125, 127-132, 148, 149, 160-166;B-GR-YB2011, B-GR-YB2012, B-GR-YB2013;NY;106;201;B2;B;Fish
BBY011BR1_2_s_2;1;BBY011BR1;2;Bulk bone;BBY011;BBY011BR1_2;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR1_s_1;1;BBY011BR1;1;Bulk bone;BBY011;BBY011BR1_1;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR2_2_s_2;2;BBY011BR2;2;Bulk bone;BBY011;BBY011BR2_2;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR2_s_1;2;BBY011BR2;1;Bulk bone;BBY011;BBY011BR2_1;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR3_2_s_2;3;BBY011BR3;2;Bulk bone;BBY011;BBY011BR3_2;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR3_s_1;3;BBY011BR3;1;Bulk bone;BBY011;BBY011BR3_1;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY012_2_s_2;1;BBY012NBR;2;Bulk bone;BBY012;BBY012_2;Id. 201, 206;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Fish
BBY012_s_1;1;BBY012NBR;1;Bulk bone;BBY012;BBY012_1;Id. 201, 206;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Fish
BBY013BR1_2_s_2;1;BBY013BR1;2;Bulk bone;BBY013;BBY013BR1_2;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY013BR1_s_1;1;BBY013BR1;1;Bulk bone;BBY013;BBY013BR1_1;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY013BR2_2_s_2;2;BBY013BR2;2;Bulk bone;BBY013;BBY013BR2_2;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY013BR2_s_1;2;BBY013BR2;1;Bulk bone;BBY013;BBY013BR2_1;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY013BR3_2_s_2;3;BBY013BR3;2;Bulk bone;BBY013;BBY013BR3_2;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY013BR3_s_1;3;BBY013BR3;1;Bulk bone;BBY013;BBY013BR3_1;Id. 219-226, 242-244;B-GR-YB3003, B-GR-YB3004;NY;106;201;B3;B;Fish
BBY015BR1_2_s_2;1;BBY015BR1;2;Bulk bone;BBY015;BBY015BR1_2;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR1_s_1;1;BBY015BR1;1;Bulk bone;BBY015;BBY015BR1_1;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR2_2_s_2;2;BBY015BR2;2;Bulk bone;BBY015;BBY015BR2_2;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR2_s_1;2;BBY015BR2;1;Bulk bone;BBY015;BBY015BR2_1;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR3_2_s_2;3;BBY015BR3;2;Bulk bone;BBY015;BBY015BR3_2;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR3_s_1;3;BBY015BR3;1;Bulk bone;BBY015;BBY015BR3_1;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY016BR1_2_s_2;1;BBY016BR1;2;Bulk bone;BBY016;BBY016BR1_2;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR1_s_1;1;BBY016BR1;1;Bulk bone;BBY016;BBY016BR1_1;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR2_2_s_2;2;BBY016BR2;2;Bulk bone;BBY016;BBY016BR2_2;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR2_s_1;2;BBY016BR2;1;Bulk bone;BBY016;BBY016BR2_1;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR3_2_s_2;3;BBY016BR3;2;Bulk bone;BBY016;BBY016BR3_2;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR3_s_1;3;BBY016BR3;1;Bulk bone;BBY016;BBY016BR3_1;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY017BR1_2_s_2;1;BBY017BR1;2;Bulk bone;BBY017;BBY017BR1_2;Id- 247, 248;B-GR-YC1004;NY;106;201;C1;C;Fish
BBY017BR1_s_1;1;BBY017BR1;1;Bulk bone;BBY017;BBY017BR1_1;Id- 247, 248;B-GR-YC1004;NY;106;201;C1;C;Fish
BBY017BR2_2_s_2;2;BBY017BR2;2;Bulk bone;BBY017;BBY017BR2_2;Id- 247, 248;B-GR-YC1004;NY;106;201;C1;C;Fish
BBY017BR2_s_1;2;BBY017BR2;1;Bulk bone;BBY017;BBY017BR2_1;Id- 247, 248;B-GR-YC1004;NY;106;201;C1;C;Fish
BBY018BR1_2_s_2;1;BBY018BR1;2;Bulk bone;BBY018;BBY018BR1_2;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY018BR1_s_1;1;BBY018BR1;1;Bulk bone;BBY018;BBY018BR1_1;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY018BR2_2_s_2;2;BBY018BR2;2;Bulk bone;BBY018;BBY018BR2_2;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY018BR2_s_1;2;BBY018BR2;1;Bulk bone;BBY018;BBY018BR2_1;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY018BR3_2_s_2;3;BBY018BR3;2;Bulk bone;BBY018;BBY018BR3_2;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY018BR3_s_1;3;BBY018BR3;1;Bulk bone;BBY018;BBY018BR3_1;Id. 249-254;B-GR-YC1005;NY;106;201;C1;C;Fish
BBY020_2_s_2;1;BBY020NBR;2;Bulk bone;BBY020;BBY020_2;Id. 261;B-GR-YC2001;NY;106;201;C1;C;Unidentified
BBY020_s_1;1;BBY020NBR;1;Bulk bone;BBY020;BBY020_1;Id. 261;B-GR-YC2001;NY;106;201;C1;C;Unidentified
