Group.1;Acanthomorphata;Artedius lateralis;Barbatula;Brosme brosme;Carangaria;Centrarchiformes;Cottidae;Cottioidei;Ctenosquamata;Cyclopterinae;Enophrys diceraus;Esox masquinongy;Euacanthomorphacea;Eupercaria;Euteleosteomorpha;Gadidae;Gadiformes;Gadoidei;Gadus morhua;Gaidropsarus;Gobio gobio;Ipnops sp. auip01;Leuciscinae;Limanda;Lycodinae;Microgadus;Microhylinae;Molva molva;Nasikabatrachus;Neobatrachia;Perciformes;Percomorphaceae;Pleuronectidae;Salmonidae;Sebastinae;Sebastiscus marmoratus;Seriola;Taurulus bubalis
BBY012_2_s_2;0;0;0;0;0;0;0;0;698;0;0;0;0;0;0;28976;0;0;384;0;0;0;0;0;0;0;0;11481;0;0;50603;0;0;0;0;0;0;0
BBY012_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4030;0;0;0;0;0;0;0;0;0;0;0;36374;0;0;9947;0;0;0;0;0;0;0
BBY013BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110042;0;21834;0;245;0;0;0;0;0;0;0;40048;0;0;0;0;1587;0;0;0;0;0
BBY013BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50699;0;9245;0;0;0;0;0;0;0;0;0;15469;0;0;0;0;604;0;0;0;0;0
BBY013BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53832;0;14057;0;0;0;0;0;0;0;0;0;25850;0;0;0;0;752;0;0;0;0;0
BBY013BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177905;0;34225;0;0;0;0;0;0;0;0;0;51719;0;0;0;0;2393;0;0;0;0;0
BBY013BR3_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21093;0;3274;0;0;0;0;0;0;0;0;0;5749;0;0;0;0;350;0;0;0;0;0
BBY013BR3_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14046;0;2188;0;0;0;0;0;0;0;0;0;4583;0;0;0;0;453;0;0;0;0;0
BBY015BR1_2_s_2;1845;0;0;0;0;0;20429;415;530;0;224;0;0;3534;0;98699;0;24871;2312;0;0;0;261;0;0;0;0;13244;0;0;8898;479;6181;0;0;0;0;0
BBY015BR1_s_1;1164;0;288;0;0;0;21068;283;403;0;572;0;0;3200;0;49811;0;11009;1369;0;0;0;0;0;0;0;0;6121;0;0;6708;296;2488;0;0;0;0;0
BBY015BR2_2_s_2;3292;1768;0;0;878;405;73733;3332;1722;0;972;0;234;15902;682;111903;0;27964;6241;315;0;0;0;0;0;0;0;9379;0;0;50247;2326;64684;0;0;0;0;0
BBY015BR2_s_1;0;0;0;0;0;0;2602;202;0;0;0;0;0;526;0;1411;0;313;0;0;0;0;0;0;0;0;0;0;0;0;1630;0;854;0;0;0;0;0
BBY015BR3_2_s_2;1827;531;0;0;351;0;9350;0;476;0;0;0;0;3151;0;132307;0;25449;2632;0;0;0;0;0;0;0;0;2419;0;0;3324;310;93568;0;0;0;0;0
BBY015BR3_s_1;417;0;0;0;0;0;2787;0;0;0;0;0;0;823;0;23815;0;3976;571;0;0;0;0;0;0;0;0;271;0;0;638;0;16067;0;0;0;0;0
BBY016BR1_2_s_2;222;0;0;0;0;0;559;0;0;0;0;0;0;0;0;113642;0;20561;251;236;0;0;0;0;0;0;0;11985;0;0;593;0;13987;0;0;0;0;688
BBY016BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54464;0;12787;0;0;0;0;0;0;0;0;0;7079;0;0;0;0;5478;0;0;0;0;0
BBY016BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21309;0;3196;0;0;0;0;0;0;0;0;0;1789;0;0;0;0;472;0;0;0;0;0
BBY016BR2_s_1;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;3982;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1118;0;0;0;0;0
